root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           402653184              131072             3178.00             3178.00              126.70              126.70
           402653184              262144             2528.78             2528.78              159.23              159.23
           402653184              524288             2039.98             2039.98              197.38              197.38
           402653184             1048576             2040.31             2040.31              197.35              197.35
           402653184             2097152             2442.01             2442.01              164.89              164.89
           805306368               65536             8918.70             8918.70               90.29               90.29
           805306368              131072             6157.12             6157.12              130.79              130.79
           805306368              262144             4865.64             4865.64              165.51              165.51
           805306368              524288             3835.06             3835.06              209.99              209.99
           805306368             1048576             3610.88             3610.88              223.02              223.02
           805306368             2097152             3883.87             3883.87              207.35              207.35
          1610612736               65536            17763.61            17763.61               90.67               90.67
          1610612736              131072            12111.26            12111.26              132.98              132.98
          1610612736              262144             9511.16             9511.16              169.34              169.34
          1610612736              524288             7391.70             7391.70              217.89              217.89
          1610612736             1048576             6526.44             6526.44              246.78              246.78
          1610612736             2097152             6944.16             6944.16              231.94              231.94
          3221225472               65536            35451.45            35451.45               90.86               90.86
          3221225472              131072            24095.57            24095.57              133.69              133.69
          3221225472              262144            18787.31            18787.31              171.46              171.46
          3221225472              524288            14403.72            14403.72              223.64              223.64
          3221225472             1048576            12399.65            12399.65              259.78              259.78
          3221225472             2097152            12741.07            12741.07              252.82              252.82


root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               80.42               80.42                0.04                0.04
                3072              131072               80.88               80.88                0.04                0.04
                3072              262144               80.38               80.38                0.04                0.04
