AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
               12288             2097152               72.12               72.12                0.17                0.17
               12288             4194304               72.23               72.23                0.17                0.17
               24576               65536               72.19               72.19                0.34                0.34
               24576              131072               72.03               72.03                0.34                0.34
               24576              262144               72.35               72.35                0.34                0.34
               24576              524288               72.55               72.55                0.34                0.34
               24576             1048576               72.52               72.52                0.34                0.34
               24576             2097152               72.54               72.54                0.34                0.34
               24576             4194304               72.07               72.07                0.34                0.34
               49152               65536               72.57               72.57                0.68                0.68
               49152              131072               72.33               72.33                0.68                0.68
               49152              262144               72.39               72.39                0.68                0.68
               49152              524288               73.04               73.04                0.67                0.67
               49152             1048576               72.62               72.62                0.68                0.68
               49152             2097152               72.78               72.78                0.68                0.68
               49152             4194304               72.82               72.82                0.68                0.68
               98304               65536               74.07               74.07                1.33                1.33
               98304              131072               73.86               73.86                1.33                1.33
               98304              262144               73.86               73.86                1.33                1.33
               98304              524288               73.58               73.58                1.34                1.34
               98304             1048576               73.94               73.94                1.33                1.33
               98304             2097152               73.82               73.82                1.33                1.33
               98304             4194304               73.56               73.56                1.34                1.34
              196608               65536               76.36               76.36                2.57                2.57
              196608              131072               76.18               76.18                2.58                2.58
              196608              262144               76.45               76.45                2.57                2.57
              196608              524288               76.45               76.45                2.57                2.57
              196608             1048576               76.40               76.40                2.57                2.57
              196608             2097152               76.40               76.40                2.57                2.57
              196608             4194304               76.30               76.30                2.58                2.58
              393216               65536               80.12               80.12                4.91                4.91
              393216              131072               79.95               79.95                4.92                4.92
              393216              262144               80.05               80.05                4.91                4.91
              393216              524288               83.02               83.02                4.74                4.74
              393216             1048576               80.24               80.24                4.90                4.90
              393216             2097152               80.32               80.32                4.90                4.90
              393216             4194304               79.94               79.94                4.92                4.92
              786432               65536               84.53               84.53                9.30                9.30
              786432              131072               83.85               83.85                9.38                9.38
              786432              262144               84.46               84.46                9.31                9.31
              786432              524288               84.39               84.39                9.32                9.32
              786432             1048576               84.46               84.46                9.31                9.31
              786432             2097152               84.32               84.32                9.33                9.33
              786432             4194304               84.37               84.37                9.32                9.32
             1572864               65536              121.77              121.77               12.92               12.92
             1572864              131072               95.12               95.12               16.54               16.54
