AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=16, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=18, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=2
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               34.66               34.66                0.09                0.09
                3072              131072               35.15               35.15                0.09                0.09
                3072              262144               34.95               34.95                0.09                0.09
                3072              524288               35.13               35.13                0.09                0.09
                3072             1048576               34.86               34.86                0.09                0.09
                3072             2097152               34.98               34.98                0.09                0.09
                3072             4194304               34.64               34.64                0.09                0.09
                3072             8388608               34.99               34.99                0.09                0.09
                3072            16777216               35.11               35.11                0.09                0.09
                3072            33554432               34.89               34.89                0.09                0.09
                3072            67108864               34.79               34.79                0.09                0.09
                6144               65536               35.10               35.10                0.18                0.18
                6144              131072               34.97               34.97                0.18                0.18
                6144              262144               34.98               34.98                0.18                0.18
                6144              524288               35.00               35.00                0.18                0.18
                6144             1048576               35.04               35.04                0.18                0.18
                6144             2097152               34.99               34.99                0.18                0.18
                6144             4194304               34.87               34.87                0.18                0.18
                6144             8388608               35.12               35.12                0.17                0.17
                6144            16777216               35.05               35.05                0.18                0.18
