AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True, n_pipeline=1
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=0
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
              196608               65536               58.96               58.96                3.33                3.33
              196608              131072               59.43               59.43                3.31                3.31
              196608              262144               58.91               58.91                3.34                3.34
              196608              524288               58.68               58.68                3.35                3.35
              196608             1048576               58.53               58.53                3.36                3.36
              196608             2097152               58.72               58.72                3.35                3.35
              196608             4194304               58.91               58.91                3.34                3.34
              393216               65536               61.91               61.91                6.35                6.35
              393216              131072               61.54               61.54                6.39                6.39
              393216              262144               61.37               61.37                6.41                6.41
              393216              524288               61.70               61.70                6.37                6.37
              393216             1048576               61.98               61.98                6.34                6.34
              393216             2097152               61.92               61.92                6.35                6.35
              393216             4194304               61.73               61.73                6.37                6.37
              786432               65536               65.29               65.29               12.05               12.05
              786432              131072               65.14               65.14               12.07               12.07
              786432              262144               65.20               65.20               12.06               12.06
              786432              524288               68.03               68.03               11.56               11.56
              786432             1048576               65.46               65.46               12.01               12.01
              786432             2097152               65.18               65.18               12.07               12.07
              786432             4194304               65.30               65.30               12.04               12.04
             1572864               65536               70.17               70.17               22.41               22.41
             1572864              131072               70.50               70.50               22.31               22.31
             1572864              262144               70.04               70.04               22.46               22.46
             1572864              524288               70.15               70.15               22.42               22.42
             1572864             1048576               70.20               70.20               22.41               22.41
             1572864             2097152               70.33               70.33               22.36               22.36
             1572864             4194304               70.08               70.08               22.44               22.44
             3145728               65536               97.04               97.04               32.42               32.42
             3145728              131072               79.14               79.14               39.75               39.75
             3145728              262144               79.77               79.77               39.44               39.44
             3145728              524288               79.64               79.64               39.50               39.50
             3145728             1048576               79.86               79.86               39.39               39.39
             3145728             2097152               79.88               79.88               39.38               39.38
             3145728             4194304               79.80               79.80               39.42               39.42
             6291456               65536              131.15              131.15               47.97               47.97
             6291456              131072              117.29              117.29               53.64               53.64
             6291456              262144               98.67               98.67               63.76               63.76
             6291456              524288               99.67               99.67               63.13               63.13
             6291456             1048576               99.19               99.19               63.43               63.43
             6291456             2097152               99.66               99.66               63.13               63.13
             6291456             4194304               99.06               99.06               63.51               63.51
            12582912               65536              223.32              223.32               56.34               56.34
            12582912              131072              166.08              166.08               75.76               75.76
            12582912              262144              156.69              156.69               80.30               80.30
            12582912              524288              143.75              143.75               87.53               87.53
            12582912             1048576              143.91              143.91               87.43               87.43
            12582912             2097152              141.76              141.76               88.76               88.76
            12582912             4194304              143.20              143.20               87.87               87.87
            25165824               65536              403.43              403.43               62.38               62.38
            25165824              131072              285.40              285.40               88.18               88.18
            25165824              262144              227.88              227.88              110.43              110.43
            25165824              524288              244.21              244.21              103.05              103.05
            25165824             1048576              252.43              252.43               99.70               99.70
            25165824             2097152              251.82              251.82               99.93               99.93
            25165824             4194304              251.20              251.20              100.18              100.18
            50331648               65536              769.05              769.05               65.45               65.45
            50331648              131072              520.54              520.54               96.69               96.69
            50331648              262144              389.95              389.95              129.07              129.07
            50331648              524288              360.48              360.48              139.62              139.62
            50331648             1048576              415.35              415.35              121.18              121.18
            50331648             2097152              451.12              451.12              111.57              111.57
            50331648             4194304              452.55              452.55              111.22              111.22
           100663296               65536             1516.29             1516.29               66.39               66.39
           100663296              131072              996.15              996.15              101.05              101.05
           100663296              262144              715.76              715.76              140.64              140.64
           100663296              524288              605.56              605.56              166.23              166.23
           100663296             1048576              625.74              625.74              160.87              160.87
           100663296             2097152              763.97              763.97              131.76              131.76
           100663296             4194304              857.66              857.66              117.37              117.37
           201326592               65536             3016.44             3016.44               66.74               66.74
           201326592              131072             1953.83             1953.83              103.04              103.04
           201326592              262144             1396.12             1396.12              144.20              144.20
           201326592              524288             1123.38             1123.38              179.22              179.22
           201326592             1048576             1105.99             1105.99              182.03              182.03
           201326592             2097152             1173.18             1173.18              171.61              171.61
           201326592             4194304             1440.95             1440.95              139.72              139.72
           402653184               65536             6157.42             6157.42               65.39               65.39
           402653184              131072             3890.63             3890.63              103.49              103.49
