AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
           805306368            33554432             7509.34             7509.34              107.24              107.24
           805306368            67108864             8557.19             8557.19               94.11               94.11
          1610612736               65536            25264.17            25264.17               63.75               63.75
          1610612736              131072            18934.29            18934.29               85.06               85.06
          1610612736              262144            14936.51            14936.51              107.83              107.83
          1610612736              524288            12849.30            12849.30              125.35              125.35
          1610612736             1048576            12061.00            12061.00              133.54              133.54
          1610612736             2097152            11847.52            11847.52              135.95              135.95
          1610612736             4194304            11542.81            11542.81              139.53              139.53
          1610612736             8388608            11552.50            11552.50              139.42              139.42
          1610612736            16777216            11936.03            11936.03              134.94              134.94
          1610612736            33554432            12835.71            12835.71              125.48              125.48
          1610612736            67108864            14884.12            14884.12              108.21              108.21
          3221225472               65536            50508.28            50508.28               63.78               63.78
          3221225472              131072            37914.33            37914.33               84.96               84.96
          3221225472              262144            29893.37            29893.37              107.76              107.76
          3221225472              524288            25658.92            25658.92              125.54              125.54
          3221225472             1048576            24085.22            24085.22              133.74              133.74
          3221225472             2097152            23555.58            23555.58              136.75              136.75
          3221225472             4194304            22753.73            22753.73              141.57              141.57
          3221225472             8388608            22517.43            22517.43              143.05              143.05
          3221225472            16777216            22772.62            22772.62              141.45              141.45
          3221225472            33554432            23613.05            23613.05              136.42              136.42
          3221225472            67108864            25547.29            25547.29              126.09              126.09

##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=28, n_parallel_sm_blocks=2, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re_synced.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
                3072               65536               37.11               37.11                0.08                0.08
                3072              131072               37.21               37.21                0.08                0.08
                3072              262144               37.13               37.13                0.08                0.08
                3072              524288               37.25               37.25                0.08                0.08
                3072             1048576               37.35               37.35                0.08                0.08
                3072             2097152               37.43               37.43                0.08                0.08
                3072             4194304               37.10               37.10                0.08                0.08
                3072             8388608               37.19               37.19                0.08                0.08
                3072            16777216               37.27               37.27                0.08                0.08
                3072            33554432               37.11               37.11                0.08                0.08
                3072            67108864               37.09               37.09                0.08                0.08
                6144               65536               37.28               37.28                0.16                0.16
                6144              131072               37.37               37.37                0.16                0.16
                6144              262144               37.28               37.28                0.16                0.16
                6144              524288               37.17               37.17                0.17                0.17
                6144             1048576               37.23               37.23                0.17                0.17
                6144             2097152               37.20               37.20                0.17                0.17
                6144             4194304               37.27               37.27                0.16                0.16
                6144             8388608               37.11               37.11                0.17                0.17
                6144            16777216               37.24               37.24                0.16                0.16
                6144            33554432               37.35               37.35                0.16                0.16
                6144            67108864               37.26               37.26                0.16                0.16
               12288               65536               37.49               37.49                0.33                0.33
               12288              131072               37.46               37.46                0.33                0.33
               12288              262144               37.29               37.29                0.33                0.33
               12288              524288               37.35               37.35                0.33                0.33
               12288             1048576               37.49               37.49                0.33                0.33
               12288             2097152               37.60               37.60                0.33                0.33
               12288             4194304               37.66               37.66                0.33                0.33
               12288             8388608               37.50               37.50                0.33                0.33
               12288            16777216               37.55               37.55                0.33                0.33
               12288            33554432               37.65               37.65                0.33                0.33
               12288            67108864               37.25               37.25                0.33                0.33
               24576               65536               37.65               37.65                0.65                0.65
               24576              131072               37.75               37.75                0.65                0.65
               24576              262144               37.96               37.96                0.65                0.65
               24576              524288               37.73               37.73                0.65                0.65
               24576             1048576               37.53               37.53                0.65                0.65
               24576             2097152               37.37               37.37                0.66                0.66
               24576             4194304               37.53               37.53                0.65                0.65
               24576             8388608               41.04               41.04                0.60                0.60
               24576            16777216               37.66               37.66                0.65                0.65
               24576            33554432               37.73               37.73                0.65                0.65
               24576            67108864               37.64               37.64                0.65                0.65
               49152               65536               37.88               37.88                1.30                1.30
               49152              131072               38.06               38.06                1.29                1.29
               49152              262144               38.09               38.09                1.29                1.29
               49152              524288               38.07               38.07                1.29                1.29
               49152             1048576               38.08               38.08                1.29                1.29
               49152             2097152               37.99               37.99                1.29                1.29
               49152             4194304               38.42               38.42                1.28                1.28
               49152             8388608               38.18               38.18                1.29                1.29
               49152            16777216               38.09               38.09                1.29                1.29
               49152            33554432               38.25               38.25                1.29                1.29
               49152            67108864               38.14               38.14                1.29                1.29
               98304               65536               39.23               39.23                2.51                2.51
               98304              131072               39.32               39.32                2.50                2.50
               98304              262144               39.11               39.11                2.51                2.51
               98304              524288               39.26               39.26                2.50                2.50
               98304             1048576               39.52               39.52                2.49                2.49
               98304             2097152               39.28               39.28                2.50                2.50
               98304             4194304               39.30               39.30                2.50                2.50
               98304             8388608               39.14               39.14                2.51                2.51
               98304            16777216               39.16               39.16                2.51                2.51
               98304            33554432               39.70               39.70                2.48                2.48
               98304            67108864               39.59               39.59                2.48                2.48
              196608               65536               41.50               41.50                4.74                4.74
              196608              131072               41.53               41.53                4.73                4.73
              196608              262144               41.50               41.50                4.74                4.74
              196608              524288               41.50               41.50                4.74                4.74
              196608             1048576               41.82               41.82                4.70                4.70
              196608             2097152               41.73               41.73                4.71                4.71
              196608             4194304               41.50               41.50                4.74                4.74
              196608             8388608               41.67               41.67                4.72                4.72
              196608            16777216               41.59               41.59                4.73                4.73
              196608            33554432               41.55               41.55                4.73                4.73
              196608            67108864               41.50               41.50                4.74                4.74
              393216               65536               44.55               44.55                8.83                8.83
              393216              131072               43.85               43.85                8.97                8.97
              393216              262144               44.20               44.20                8.90                8.90
              393216              524288               43.99               43.99                8.94                8.94
              393216             1048576               44.10               44.10                8.92                8.92
              393216             2097152               44.52               44.52                8.83                8.83
              393216             4194304               44.18               44.18                8.90                8.90
              393216             8388608               44.07               44.07                8.92                8.92
              393216            16777216               44.21               44.21                8.90                8.90
              393216            33554432               44.23               44.23                8.89                8.89
