AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=14, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=None
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_coll_re.cu::pipeline_reduceScatter_coll_re_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
             1572864             2097152               67.97               67.97               23.14               23.14
             1572864             4194304               67.19               67.19               23.41               23.41
             1572864             8388608               66.90               66.90               23.51               23.51
             1572864            16777216               67.54               67.54               23.29               23.29
             1572864            33554432               66.57               66.57               23.63               23.63
             1572864            67108864               66.90               66.90               23.51               23.51
             3145728               65536              104.99              104.99               29.96               29.96
             3145728              131072               93.63               93.63               33.60               33.60
             3145728              262144               80.50               80.50               39.08               39.08
             3145728              524288               79.34               79.34               39.65               39.65
             3145728             1048576               79.95               79.95               39.34               39.34
             3145728             2097152               81.04               81.04               38.82               38.82
             3145728             4194304               81.59               81.59               38.55               38.55
             3145728             8388608               80.99               80.99               38.84               38.84
             3145728            16777216               80.75               80.75               38.96               38.96
             3145728            33554432               77.92               77.92               40.37               40.37
             3145728            67108864               79.27               79.27               39.68               39.68
             6291456               65536              156.23              156.23               40.27               40.27
             6291456              131072              124.15              124.15               50.68               50.68
             6291456              262144              114.26              114.26               55.06               55.06
             6291456              524288              107.38              107.38               58.59               58.59
             6291456             1048576              107.45              107.45               58.55               58.55
             6291456             2097152              108.08              108.08               58.21               58.21
             6291456             4194304              107.79              107.79               58.37               58.37
             6291456             8388608              108.73              108.73               57.86               57.86
             6291456            16777216              107.58              107.58               58.48               58.48
             6291456            33554432              108.51              108.51               57.98               57.98
             6291456            67108864              106.24              106.24               59.22               59.22
            12582912               65536              263.65              263.65               47.73               47.73
