AG_tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
RS_tree_file=symmetric/sym_split_IB20_NV300_bw_k_1_320
##################################################### ReduceScatter #####################################################
nranks=16
k=1, scratch_size=16777216
check_iters=0, warmup_iters=100, iters=100
use_reduceScatter_kernel=False
skip_leaf_tb=True
nblocks=15, n_parallel_sm_blocks=1, n_parallel_reduce_blocks=1
KERNEL=pipeline_reduceScatter_kernel_parallel_sm_sendtb.cu::pipeline_reduceScatter_sendtb_schedule
BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
               98304              262144               81.12               81.12                1.21                1.21
               98304              524288               81.03               81.03                1.21                1.21
               98304             1048576               80.61               80.61                1.22                1.22
               98304             2097152               80.58               80.58                1.22                1.22
               98304             4194304               80.96               80.96                1.21                1.21
              196608               65536               82.91               82.91                2.37                2.37
              196608              131072               82.43               82.43                2.39                2.39
              196608              262144               82.43               82.43                2.39                2.39
              196608              524288               82.18               82.18                2.39                2.39
              196608             1048576               83.06               83.06                2.37                2.37
              196608             2097152               82.92               82.92                2.37                2.37
              196608             4194304               82.40               82.40                2.39                2.39
              393216               65536               91.16               91.16                4.31                4.31
              393216              131072               91.74               91.74                4.29                4.29
              393216              262144               95.57               95.57                4.11                4.11
              393216              524288               91.49               91.49                4.30                4.30
              393216             1048576               92.13               92.13                4.27                4.27
              393216             2097152               92.47               92.47                4.25                4.25
              393216             4194304               91.18               91.18                4.31                4.31
              786432               65536              101.48              101.48                7.75                7.75
              786432              131072              100.75              100.75                7.81                7.81
              786432              262144              100.95              100.95                7.79                7.79
              786432              524288              101.51              101.51                7.75                7.75
              786432             1048576              101.00              101.00                7.79                7.79
              786432             2097152              101.54              101.54                7.75                7.75
              786432             4194304              100.69              100.69                7.81                7.81
             1572864               65536              118.52              118.52               13.27               13.27
             1572864              131072              126.12              126.12               12.47               12.47
