root@vmss-a100000005:~# /usr/local/mpi/bin/mpirun -allow-run-as-root -np 16 --bind-to numa -hostfile /root/hosts.txt -x MSCCLPP_DEBUG=WARN -x LD_LIBRARY_PATH=/root/mscclpp-public/build:$LD_LIBRARY_PATH -mca pml ob1 -mca btl ^openib -mca btl_tcp_if_include eth0 -x NCCL_IB_PCI_RELAXED_ORDERING=1 -x NCCL_SOCKET_IFNAME=eth0 -x CUDA_DEVICE_ORDER=PCI_BUS_ID -x NCCL_NET_GDR_LEVEL=5 -x NCCL_TOPO_FILE=/topo.xml -x NCCL_NET_PLUGIN=none -x NCCL_IB_DISABLE=0 -x NCCL_MIN_NCHANNELS=32 -x NCCL_DEBUG=WARN -x NCCL_P2P_DISABLE=0 -x NCCL_SHM_DISABLE=0 -x MSCCLPP_HOME=/root/mscclpp-public -np 16 -npernode 8 python3 /root/mscclpp-public/python/test/pipeline_expt_2_node.py
tree_file=symmetric/sym_split2_IB20_NV300_bw_k_1_320
####################################################### Allgather #######################################################
nranks=16
k=1
check_iters=0, warmup_iters=100, iters=100
KERNEL_FILE=pipeline_kernel_simplified_read.cu, BENCH_METHOD=2

             size(B)        send_size(B)        avg_time(us)        min_time(us)     avg_algbw(GB/s)     max_algbw(GB/s)
             1572864             2097152               80.36               80.36               19.57               19.57
             1572864             4194304               79.49               79.49               19.79               19.79
             3145728               65536               87.15               87.15               36.09               36.09
             3145728              131072               86.47               86.47               36.38               36.38
             3145728              262144               86.10               86.10               36.54               36.54
             3145728              524288               86.51               86.51               36.36               36.36
             3145728             1048576               86.26               86.26               36.47               36.47
             3145728             2097152               84.86               84.86               37.07               37.07
             3145728             4194304               86.23               86.23               36.48               36.48
             6291456               65536              152.40              152.40               41.28               41.28
             6291456              131072               99.91               99.91               62.97               62.97
             6291456              262144              100.75              100.75               62.45               62.45
             6291456              524288              100.38              100.38               62.67               62.67
             6291456             1048576              100.28              100.28               62.74               62.74
             6291456             2097152               99.07               99.07               63.50               63.50
             6291456             4194304               99.86               99.86               63.00               63.00
            12582912               65536              273.26              273.26               46.05               46.05
            12582912              131072              180.35              180.35               69.77               69.77
            12582912              262144              118.74              118.74              105.97              105.97
            12582912              524288              120.68              120.68              104.27              104.27
            12582912             1048576              118.28              118.28              106.38              106.38
            12582912             2097152              119.33              119.33              105.45              105.45
            12582912             4194304              120.27              120.27              104.62              104.62
            25165824               65536              516.06              516.06               48.77               48.77
            25165824              131072              325.53              325.53               77.31               77.31
            25165824              262144              232.87              232.87              108.07              108.07
            25165824              524288              169.87              169.87              148.15              148.15
            25165824             1048576              170.81              170.81              147.33              147.33
            25165824             2097152              171.78              171.78              146.50              146.50
            25165824             4194304              170.29              170.29              147.78              147.78
            50331648               65536             1011.72             1011.72               49.75               49.75
            50331648              131072              623.01              623.01               80.79               80.79
            50331648              262144              422.48              422.48              119.13              119.13
            50331648              524288              328.62              328.62              153.16              153.16
            50331648             1048576              281.48              281.48              178.81              178.81
            50331648             2097152              278.92              278.92              180.45              180.45
            50331648             4194304              283.36              283.36              177.62              177.62
           100663296               65536             2011.90             2011.90               50.03               50.03
           100663296              131072             1222.55             1222.55               82.34               82.34
           100663296              262144              805.50              805.50              124.97              124.97
           100663296              524288              610.31              610.31              164.94              164.94
           100663296             1048576              509.72              509.72              197.49              197.49
           100663296             2097152              505.31              505.31              199.21              199.21
           100663296             4194304              503.62              503.62              199.88              199.88
           201326592               65536             3996.39             3996.39               50.38               50.38
           201326592              131072             2405.91             2405.91               83.68               83.68
           201326592              262144             1560.17             1560.17              129.04              129.04
           201326592              524288             1175.60             1175.60              171.25              171.25
           201326592             1048576              967.17              967.17              208.16              208.16
           201326592             2097152              892.02              892.02              225.70              225.70
           201326592             4194304              993.55              993.55              202.63              202.63
           402653184               65536             7951.63             7951.63               50.64               50.64
           402653184              131072             4775.83             4775.83               84.31               84.31
           402653184              262144             3068.23             3068.23              131.23              131.23
           402653184              524288             2258.14             2258.14              178.31              178.31
           402653184             1048576             1852.81             1852.81              217.32              217.32
           402653184             2097152             1647.28             1647.28              244.44              244.44
           402653184             4194304             1676.87             1676.87              240.12              240.12
           805306368               65536            15867.61            15867.61               50.75               50.75
           805306368              131072             9500.56             9500.56               84.76               84.76
           805306368              262144             5989.48             5989.48              134.45              134.45
           805306368              524288             4312.52             4312.52              186.74              186.74
           805306368             1048576             3582.74             3582.74              224.77              224.77
           805306368             2097152             3099.42             3099.42              259.82              259.82
           805306368             4194304             3122.66             3122.66              257.89              257.89
          1610612736               65536            31792.25            31792.25               50.66               50.66
          1610612736              131072            18969.06            18969.06               84.91               84.91
          1610612736              262144            11917.49            11917.49              135.15              135.15
          1610612736              524288             8417.16             8417.16              191.35              191.35
          1610612736             1048576             7086.54             7086.54              227.28              227.28
          1610612736             2097152             6074.56             6074.56              265.14              265.14
          1610612736             4194304             6123.82             6123.82              263.01              263.01
